beta,detection_time,death_rate,peak,death_fraction
0.5,7,0.02,1.0,0.11846666666666668
0.30538143851567445,8,0.010376279884169715,0.9998665331850072,0.05
0.5306322309672514,6,0.012965709380531378,1.0,0.07786666666666667
0.3316039155115364,12,0.08763716431010492,1.0,0.3881333333333334
0.7574929341343675,13,0.034430339560644285,1.0,0.20213333333333333
0.9925811086157539,3,0.08489651295707967,0.8000666666666667,0.364
0.8717288305937673,7,0.042306232964088135,1.0,0.2508
0.4730760511302543,14,0.06673846672146362,1.0,0.3433999999999999
0.2990039968011119,8,0.09588576859145007,0.9999169435215947,0.39013333333333333
0.11529502002285981,4,0.09648111312801125,0.0004,0.0
0.8852318627521988,9,0.04536807289601892,1.0,0.2663333333333333
0.22466413849283082,13,0.09847417586483549,0.9997469891347153,0.36880000000000007
0.16292171154835877,10,0.01412199234071963,0.7240166103166432,0.0196
0.4345927487358291,5,0.09012747406707705,1.0,0.40920000000000006
0.20797711074149666,6,0.06277539044525683,0.39748807584705215,0.030466666666666663
0.13756213399253636,12,0.02679451865095974,0.3989078677051586,0.014333333333333333
0.36740165445389994,12,0.04389728740728075,1.0,0.22006666666666663
0.6588781381063568,7,0.039482983747714584,1.0,0.22593333333333332
0.7817767545302282,9,0.05412289868154112,1.0,0.29846666666666666
0.26673696121957957,8,0.056786000543402666,0.799990328197071,0.1772
0.5486672060805925,3,0.05310390567171899,0.7995199867685358,0.199
0.5166384835363451,11,0.07635967551590643,1.0,0.37960000000000005
0.8231689460273943,13,0.0738947428045063,1.0,0.3990666666666666
0.3232925682596142,9,0.05806122472448703,0.9999293286219082,0.26426666666666665
0.693356624780633,12,0.07006561890812543,1.0,0.37206666666666666
0.6335684948185762,13,0.0353881983200282,1.0,0.19713333333333333
0.7114950574305773,7,0.020809754698218195,1.0,0.11933333333333333
0.9701185666349303,10,0.06600072744939794,1.0,0.36653333333333327
0.96041632748304,14,0.08041304230473856,1.0,0.4401333333333334
0.13072487194884672,5,0.020441827891017512,0.0004666666666666667,0.0
0.6823155291589504,13,0.018745362618386725,1.0,0.11386666666666667
0.3953655794683604,6,0.0257513240083119,1.0,0.13486666666666666
0.7230737474891364,8,0.02769865017729644,1.0,0.16113333333333335
0.9128567542101942,6,0.01543900909688785,1.0,0.10293333333333335
0.2467324487948336,11,0.02983605864579418,0.9995989750143517,0.13006666666666664
0.40337245435939384,4,0.050057882487932664,0.999151250269324,0.21946666666666664
0.3497395496622784,5,0.08225505010005281,0.7998272765790149,0.2477333333333333
0.8270501265126031,12,0.0685828272112121,1.0,0.38206666666666667
0.8507745165480578,5,0.04873192178699908,1.0,0.28933333333333333
0.19996559143069625,3,0.09458826494279121,0.0005333333333333334,0.0
0.5955954645256367,4,0.01155739123331888,1.0,0.0648
0.45616621595348505,9,0.08893666655361414,1.0,0.42593333333333333
0.5819706774540303,10,0.06357558603512235,1.0,0.33433333333333326
0.8021335012099299,7,0.07203612059877212,1.0,0.396
0.5017643859510195,10,0.06093916093505701,1.0,0.3134
0.7442267909286533,8,0.04101266298503963,1.0,0.22993333333333332
0.28464037067073633,9,0.051671988954951016,0.9998626778710218,0.24053333333333335
0.9031851622506023,5,0.0782152408055028,1.0,0.42486666666666667
0.44822571999506877,11,0.08358467998602066,1.0,0.41373333333333334
0.5658877987080047,10,0.022658001783829318,1.0,0.12733333333333335
0.9422146133042187,4,0.09207427449045996,1.0,0.47939999999999994
0.1772662052507888,6,0.03697921042462563,0.0019333333333333333,0.00013333333333333334
0.10403456055242873,4,0.08381493867268837,0.0004,0.0
