β,peak_I,peak_time,analytic
0.1,992.1022950568479,0.11531963331559639,992.1022950568714
0.15,994.4645532991599,0.07953091340418528,994.4645532991755
0.2,995.7045739381422,0.06106529754819734,995.7045739381557
0.25,996.474401729991,0.04973391822064202,996.4744017299989
0.3,997.0012275893922,0.0420463124918975,997.0012275894011
0.35,997.3855805966709,0.03647607495570311,997.3855805966788
0.4,997.6790001739332,0.032247643549968064,997.6790001739379
0.45,997.9107150355704,0.028924354289640623,997.9107150355767
0.5,998.0985714288806,0.026241193710459,998.0985714288875
0.55,998.2540994481079,0.024027821415922294,998.2540994481151
0.6,998.3850892646029,0.022169663863512504,998.3850892646072
0.65,998.4969989046075,0.020586764911210344,998.4969989046107
0.7,998.5937692725424,0.019221597400421758,998.5937692725452
0.75,998.6783189381728,0.018031693787141444,998.6783189381772
0.8,998.7528566893967,0.01698500794027269,998.752856689399
