case_id,β,γ,peak_mean,peak_sd,final_R_mean,final_R_sd,time_mean
1,0.1,0.05,996.85,1.8715318802914818,993.5,2.3951705795753164,0.1202835438053947
2,0.3,0.05,998.95,0.7591546545162482,993.15,3.166851333488999,0.03995000962768078
3,0.8,0.05,999.6,0.5982430416161186,992.8,2.546411303445653,0.014550372044046056
4,0.1,0.1,993.35,2.412140346794021,999.95,0.223606797749979,0.10867074176789952
5,0.3,0.1,997.8,1.361114094757441,999.9,0.3077935056255462,0.04122232672605958
6,0.8,0.1,999.0,1.1697953037312037,999.95,0.223606797749979,0.015521414092101024
7,0.1,0.2,985.7,3.2134585401827866,1000.0,0.0,0.10466203280814672
8,0.3,0.2,996.0,1.5217718205053643,1000.0,0.0,0.03909377199358039
9,0.8,0.2,998.55,1.0990426455975695,1000.0,0.0,0.014482609940338717
