case_id,β,γ,refined_peak,peak_I,peak_time,final_R,conservation_error
1,0.1,0.05,995.704573938141,977.5597487123295,0.5,993.2465099611601,2.2737367544323206e-12
2,0.3,0.05,998.3850892646042,976.058945384678,0.5,993.2568782896647,1.8189894035458565e-12
3,0.8,0.05,999.3331066459132,975.5906927954109,0.5,993.2601132216676,2.5011104298755527e-12
4,0.1,0.1,992.1022950568479,955.6260302185533,0.5,999.9543902306333,6.821210263296962e-13
5,0.3,0.1,997.0012275893922,952.6913929972906,0.5,999.9545302939276,2.1600499167107046e-12
6,0.8,0.1,998.7528566893967,951.7772459409837,0.5,999.9545739240021,2.0463630789890885e-12
7,0.1,0.2,985.5908844748411,913.2324870876367,0.5,999.9999979197189,1.5916157281026244e-12
8,0.3,0.2,994.4645532991635,907.6221419142926,0.5,999.9999979325005,1.4779288903810084e-12
9,0.8,0.2,997.6790001739326,905.8801013542641,0.5,999.9999979364693,9.094947017729282e-13
