intensity,peak_time,peak
0.0,15.0,0.33325923455966805
0.1,22.333333333333332,1.0
0.2,16.333333333333332,1.0
0.3,17.0,1.0
0.4,19.333333333333332,1.0
0.5,20.333333333333332,1.0
