philosophers,left_rate,replication,variant,deadlock,stop_time,events,meals,fairness
3,1.0,1,Классическая,true,2.9435418856239184,9,2,0.6666666666666666
3,1.0,1,С арбитром,false,49.925159519161305,86,28,0.9333333333333333
3,1.0,2,Классическая,true,3.193501855594584,9,2,0.6666666666666666
3,1.0,2,С арбитром,false,49.60572438005046,101,33,0.9628647214854111
3,1.0,3,Классическая,true,1.592451694177249,6,1,0.3333333333333333
3,1.0,3,С арбитром,false,49.841028329331856,98,32,0.9865125240847784
3,1.0,4,Классическая,true,1.7653671368100536,3,0,0.0
3,1.0,4,С арбитром,false,49.19007887910584,90,30,0.9554140127388535
3,1.0,5,Классическая,true,1.4867861788007768,3,0,0.0
3,1.0,5,С арбитром,false,49.76331235076861,80,26,0.9883040935672515
3,1.0,6,Классическая,true,20.158414558039258,39,12,0.8888888888888888
3,1.0,6,С арбитром,false,49.80592930254482,84,27,0.9759036144578314
3,1.0,7,Классическая,true,10.145421361088264,18,5,0.9259259259259259
3,1.0,7,С арбитром,false,49.20791402245257,77,25,0.9097525473071325
3,1.0,8,Классическая,true,7.921219374161926,18,5,0.7575757575757576
3,1.0,8,С арбитром,false,49.863701130633515,73,24,0.9696969696969697
3,1.0,9,Классическая,true,2.436371838631006,6,1,0.3333333333333333
3,1.0,9,С арбитром,false,49.77905402612995,101,33,0.983739837398374
3,1.0,10,Классическая,true,0.9686777693813526,9,2,0.3333333333333333
3,1.0,10,С арбитром,false,49.38089769724583,78,25,0.8790436005625879
3,1.0,11,Классическая,true,2.3084574123318458,6,1,0.3333333333333333
3,1.0,11,С арбитром,false,48.92646039754012,77,25,0.9968102073365231
3,1.0,12,Классическая,true,1.431554108919013,3,0,0.0
3,1.0,12,С арбитром,false,49.019573534137606,92,30,0.9933774834437086
3,1.0,13,Классическая,true,0.5728627006182366,3,0,0.0
3,1.0,13,С арбитром,false,49.947896401373136,100,33,0.9628647214854111
3,1.0,14,Классическая,true,9.530157584512697,18,5,0.7575757575757576
3,1.0,14,С арбитром,false,49.686550261344685,101,33,0.8789346246973365
3,1.0,15,Классическая,true,7.955352280208014,15,4,0.8888888888888888
3,1.0,15,С арбитром,false,49.018124596665565,78,25,0.9780907668231612
3,1.0,16,Классическая,true,2.8102917188422616,6,1,0.3333333333333333
3,1.0,16,С арбитром,false,49.69339046028964,81,26,0.931129476584022
3,1.0,17,Классическая,true,0.5507136128562491,3,0,0.0
3,1.0,17,С арбитром,false,49.621604113274365,85,28,0.9607843137254902
3,1.0,18,Классическая,true,3.1293266535698385,12,3,1.0
3,1.0,18,С арбитром,false,49.68100304001377,68,22,0.8864468864468864
3,1.0,19,Классическая,true,1.4483878167423536,6,1,0.3333333333333333
3,1.0,19,С арбитром,false,49.18712260596535,77,25,0.9600614439324117
3,1.0,20,Классическая,true,1.4564996753519253,6,1,0.3333333333333333
3,1.0,20,С арбитром,false,48.48230943770224,90,29,0.9836257309941521
3,1.5,1,Классическая,true,1.3400988199875892,6,1,0.3333333333333333
3,1.5,1,С арбитром,false,48.36466542351546,99,32,0.9865125240847784
3,1.5,2,Классическая,true,6.242812713849694,6,1,0.3333333333333333
3,1.5,2,С арбитром,false,49.59730350484648,77,25,0.9600614439324117
3,1.5,3,Классическая,true,1.1500712194238838,3,0,0.0
3,1.5,3,С арбитром,false,49.61856863927442,107,35,0.9792166266986411
3,1.5,4,Классическая,true,1.95483503586582,6,1,0.3333333333333333
3,1.5,4,С арбитром,false,49.95342537095156,62,20,0.8438818565400844
3,1.5,5,Классическая,true,1.6190515189257215,6,1,0.3333333333333333
3,1.5,5,С арбитром,false,49.94560690901067,93,30,0.9803921568627451
3,1.5,6,Классическая,true,1.4883057544617966,3,0,0.0
3,1.5,6,С арбитром,false,47.04396428224562,110,36,1.0
3,1.5,7,Классическая,true,5.924986755978893,18,5,0.9259259259259259
3,1.5,7,С арбитром,false,49.961019713035846,96,32,0.9922480620155039
3,1.5,8,Классическая,true,1.3291830897885437,3,0,0.0
3,1.5,8,С арбитром,false,49.940104601735996,84,27,0.9918367346938776
3,1.5,9,Классическая,true,4.526136102269751,9,2,0.6666666666666666
3,1.5,9,С арбитром,false,49.64486187041039,95,31,0.9917440660474717
3,1.5,10,Классическая,true,2.368352426871083,9,2,0.3333333333333333
3,1.5,10,С арбитром,false,49.78622508201545,97,32,0.893542757417103
3,1.5,11,Классическая,true,0.6153558988437423,3,0,0.0
3,1.5,11,С арбитром,false,49.21242022981483,83,27,0.9681274900398407
3,1.5,12,Классическая,true,0.3497673817973353,3,0,0.0
3,1.5,12,С арбитром,false,49.13616821236492,95,31,0.9856410256410256
3,1.5,13,Классическая,true,3.0075556289048277,6,1,0.3333333333333333
3,1.5,13,С арбитром,false,47.338451795653285,89,29,0.9836257309941521
3,1.5,14,Классическая,true,3.4294905599773746,6,1,0.3333333333333333
3,1.5,14,С арбитром,false,49.95668940741911,69,22,0.9718875502008032
3,1.5,15,Классическая,true,1.5077421304928738,3,0,0.0
3,1.5,15,С арбитром,false,49.74893760481697,80,26,0.9629629629629629
3,1.5,16,Классическая,true,0.6816203256779239,3,0,0.0
3,1.5,16,С арбитром,false,49.42980265025341,80,26,0.9797101449275363
3,1.5,17,Классическая,true,0.5843482407845679,3,0,0.0
3,1.5,17,С арбитром,false,49.95605565694711,91,30,0.974025974025974
3,1.5,18,Классическая,true,2.944629746824025,6,1,0.3333333333333333
3,1.5,18,С арбитром,false,49.93466120645977,104,34,0.9681742043551089
3,1.5,19,Классическая,true,0.4848309581583018,3,0,0.0
3,1.5,19,С арбитром,false,49.963652129244714,75,24,1.0
3,1.5,20,Классическая,true,5.006568132959707,9,2,0.3333333333333333
3,1.5,20,С арбитром,false,49.74423099343261,81,26,0.9629629629629629
3,2.0,1,Классическая,true,1.2428878627856905,6,1,0.3333333333333333
3,2.0,1,С арбитром,false,49.00322892482515,80,26,0.7878787878787878
3,2.0,2,Классическая,true,0.9380270062040926,3,0,0.0
3,2.0,2,С арбитром,false,49.97173894535373,95,31,0.9619619619619619
3,2.0,3,Классическая,true,1.0420458428768427,3,0,0.0
3,2.0,3,С арбитром,false,47.84300629935194,87,28,0.843010752688172
3,2.0,4,Классическая,true,1.1559594656110261,6,1,0.3333333333333333
3,2.0,4,С арбитром,false,49.89820764650509,93,30,0.9433962264150944
3,2.0,5,Классическая,true,4.344300548204684,12,3,1.0
3,2.0,5,С арбитром,false,49.89891880696947,84,27,0.8181818181818182
3,2.0,6,Классическая,true,0.11282942515794864,3,0,0.0
3,2.0,6,С арбитром,false,46.51020814931647,80,26,0.9629629629629629
3,2.0,7,Классическая,true,1.363573840730577,6,1,0.3333333333333333
3,2.0,7,С арбитром,false,49.74719741396755,108,35,0.9013980868285504
3,2.0,8,Классическая,true,3.972173022804843,12,3,0.6
3,2.0,8,С арбитром,false,49.83441699251142,89,29,0.9633447880870561
3,2.0,9,Классическая,true,1.1961927923756395,3,0,0.0
3,2.0,9,С арбитром,false,46.5712085181727,96,31,0.9979231568016614
3,2.0,10,Классическая,true,6.562072856892539,15,4,0.8888888888888888
3,2.0,10,С арбитром,false,47.82417598481712,69,22,0.983739837398374
3,2.0,11,Классическая,true,0.11496579528574033,3,0,0.0
3,2.0,11,С арбитром,false,49.54558241894135,90,29,0.9700115340253749
3,2.0,12,Классическая,true,2.2258603866427933,6,1,0.3333333333333333
3,2.0,12,С арбитром,false,49.709259066858145,98,32,0.9752380952380952
3,2.0,13,Классическая,true,1.8789258438534118,9,2,0.3333333333333333
3,2.0,13,С арбитром,false,49.29483376436633,86,28,0.9974554707379135
3,2.0,14,Классическая,true,0.7349257717381235,6,1,0.3333333333333333
3,2.0,14,С арбитром,false,49.867330326418745,80,26,0.9467787114845938
3,2.0,15,Классическая,true,0.30845147181666266,3,0,0.0
3,2.0,15,С арбитром,false,48.78345431766773,89,29,0.9836257309941521
3,2.0,16,Классическая,true,0.9046643046588689,3,0,0.0
3,2.0,16,С арбитром,false,49.82920872869815,76,25,0.942684766214178
3,2.0,17,Классическая,true,1.6271239869651277,9,2,0.6666666666666666
3,2.0,17,С арбитром,false,49.061019358421376,92,30,0.9554140127388535
3,2.0,18,Классическая,true,1.3283871373616716,3,0,0.0
3,2.0,18,С арбитром,false,49.88633942443956,91,30,0.9803921568627451
3,2.0,19,Классическая,true,1.6231333478997887,3,0,0.0
3,2.0,19,С арбитром,false,48.64778020284649,99,32,0.9865125240847784
3,2.0,20,Классическая,true,1.9433401170362783,6,1,0.3333333333333333
3,2.0,20,С арбитром,false,49.680631497831165,111,36,0.9818181818181818
3,3.0,1,Классическая,true,0.462464303281901,3,0,0.0
3,3.0,1,С арбитром,false,49.75799643542066,96,31,0.9736575481256332
3,3.0,2,Классическая,true,0.4993398826728199,3,0,0.0
3,3.0,2,С арбитром,false,49.72839123224237,81,26,0.9797101449275363
3,3.0,3,Классическая,true,0.2040429471228385,3,0,0.0
3,3.0,3,С арбитром,false,49.977387731689404,97,32,0.9642184557438794
3,3.0,4,Классическая,true,0.6617461727016059,3,0,0.0
