intensity,seed,peak,peak_time,final_inf,final_rec,deaths,death_fraction
0.0,42,0.33311103701233746,14,0.2833690221270521,0.0028551034975017845,198,0.066
0.0,43,0.3333333333333333,14,0.2897163120567376,0.0010638297872340426,180,0.06
0.0,44,0.3333333333333333,17,0.2947813822284908,0.0,164,0.05466666666666667
0.1,42,1.0,16,1.0,0.0,511,0.17033333333333334
0.1,43,1.0,15,0.9983942191890807,0.0016057808109193096,509,0.16966666666666666
0.1,44,1.0,35,0.9919935948759008,0.008006405124099279,502,0.16733333333333333
0.2,42,1.0,16,0.9991820040899796,0.0008179959100204499,555,0.185
0.2,43,1.0,15,0.9979541734860884,0.0020458265139116204,556,0.18533333333333332
0.2,44,1.0,17,1.0,0.0,583,0.19433333333333333
0.3,42,1.0,15,0.9975359342915812,0.0024640657084188913,565,0.18833333333333332
0.3,43,1.0,17,0.9995941558441559,0.00040584415584415587,536,0.17866666666666667
0.3,44,1.0,19,1.0,0.0,527,0.17566666666666667
0.4,42,1.0,18,0.9995903318312167,0.00040966816878328555,559,0.18633333333333332
0.4,43,1.0,18,1.0,0.0,546,0.182
0.4,44,1.0,21,0.9427991886409737,0.05720081135902637,535,0.17833333333333334
0.5,42,1.0,20,1.0,0.0,528,0.176
0.5,43,1.0,21,0.9839506172839506,0.016049382716049384,570,0.19
0.5,44,1.0,19,1.0,0.0,547,0.18233333333333332
