max_age,init_white,time,black,white,temperature,luminosity,albedo
25,0.2,1000,604,287,34.75416934429802,1.0,0.41094444444444445
25,0.8,1000,503,394,24.873244799038623,1.0,0.46938888888888897
40,0.2,1000,498,393,24.505411402868983,1.0,0.4698333333333331
40,0.8,1000,483,416,22.695268917919623,1.0,0.48127777777777775
