run,seed,N,S,repairers,failure_mean,repair_mean,crash_time,mean_queue,utilization,area_queue,area_busy,final_healthy,final_broken
1,42,10,3,1,100.0,1.0,12715.718224958666,0.012731593868103545,0.10181988704679322,161.89136018141625,1294.7129933841413,9,4
2,42,10,3,1,100.0,1.0,37335.53567595007,0.011227626872254027,0.09965711712149848,419.1894636452959,3720.7518516520413,9,4
3,42,10,3,1,100.0,1.0,30844.62667837361,0.010235816641902016,0.10080627455721593,315.7199430677515,3109.3319055549573,9,4
4,42,10,3,1,100.0,1.0,1601.2524911974856,0.014588749071375426,0.10631939857525977,23.360270793994907,170.2442018312531,9,4
5,42,10,3,1,100.0,1.0,824.1048708405848,0.017696294596705346,0.11030572919511408,14.583602572974797,90.90348871131602,9,4
