experiment,replication,seed,N,S,repairers,failure_mean,repair_mean,crash_time,mean_queue,utilization,area_queue,area_busy,final_healthy,final_broken
1,1,711001,5,3,1,100.0,1.0,169861.6847839911,0.0024280861503208667,0.05014845321919908,412.43880429417754,8518.300753124318,4,4
1,2,711002,5,3,1,100.0,1.0,58407.093540955415,0.002766945063254359,0.04874433483519129,161.60921913218215,2847.0149243106694,4,4
1,3,711003,5,3,1,100.0,1.0,263958.70884646976,0.0028682730646318304,0.049848831529723,757.1056547593249,13158.033208090874,4,4
1,4,711004,5,3,1,100.0,1.0,978460.2346509817,0.002659300941414175,0.05036320761454353,2602.0202231436906,49278.39594030237,4,4
1,5,711005,5,3,1,100.0,1.0,210721.59876758512,0.0026811136782770367,0.05054042513715947,564.968560764178,10649.959187295692,4,4
1,6,711006,5,3,1,100.0,1.0,4811.404864817699,0.0013984485922490207,0.04804948811975212,6.7285023599444,231.18554089137555,4,4
1,7,711007,5,3,1,100.0,1.0,49388.46366248141,0.003045592962369255,0.0515717534079496,150.41715735268306,2547.0496691989706,4,4
1,8,711008,5,3,1,100.0,1.0,34727.03196881929,0.002321129968251421,0.04844878456742711,80.6059546112516,1682.4824905234798,4,4
1,9,711009,5,3,1,100.0,1.0,3923.4620986922137,0.0036161279133754844,0.05085852837010222,14.187740812151674,199.54150845535875,4,4
1,10,711010,5,3,1,100.0,1.0,226428.26937578293,0.0026769352690217364,0.050074403737154854,606.1338201955876,11338.26057822821,4,4
1,11,711011,5,3,1,100.0,1.0,82295.3852334899,0.0035057771940022768,0.0497201117200603,288.5092847232006,4091.7357478545186,4,4
1,12,711012,5,3,1,100.0,1.0,382620.49012149905,0.0025075270948249993,0.04997178406726579,959.4312460148799,19120.228512062953,4,4
1,13,711013,5,3,1,100.0,1.0,108719.33353817501,0.0030992958984666905,0.050389677615652294,336.9533845188979,5478.332167577213,4,4
1,14,711014,5,3,1,100.0,1.0,277801.3853949435,0.002834737930707104,0.050254456277241864,787.494124382029,13960.757576087406,4,4
1,15,711015,5,3,1,100.0,1.0,81517.38812088156,0.0024933785313919184,0.048262610476298415,203.2537054757487,3934.2419499233424,4,4
1,16,711016,5,3,1,100.0,1.0,22649.547615303483,0.0029648775065378727,0.05142285585786879,67.15313425787181,1164.7044222676868,4,4
1,17,711017,5,3,1,100.0,1.0,1807.127502454644,0.006564893944796814,0.06580990293762783,11.863600398340282,118.9268855324579,4,4
1,18,711018,5,3,1,100.0,1.0,186244.39271152823,0.003042499179131379,0.05150253925198121,566.6484119426468,9592.059146086885,4,4
1,19,711019,5,3,1,100.0,1.0,193865.2003106933,0.002830717541145069,0.05070690263068485,548.777623137082,9830.30383563254,4,4
1,20,711020,5,3,1,100.0,1.0,180833.879818998,0.002606021064686361,0.04980119932022104,471.2569000172706,9005.744092714816,4,4
1,21,711021,5,3,1,100.0,1.0,57740.1147354192,0.0028563941249419014,0.05119424420614374,164.9285245037227,2955.961534255809,4,4
1,22,711022,5,3,1,100.0,1.0,156797.3934550289,0.0029752348143796486,0.04953161354096738,466.50906381138566,7766.427896845499,4,4
1,23,711023,5,3,1,100.0,1.0,61358.93031861616,0.0028915721138473975,0.04758182015639872,177.42377184481612,2919.569587409395,4,4
1,24,711024,5,3,1,100.0,1.0,174639.910057934,0.0027990458010189495,0.049474516995048866,488.8251069379872,8640.225198175061,4,4
1,25,711025,5,3,1,100.0,1.0,106177.96492927842,0.002576183874314876,0.049294423325403576,273.5339610583775,5233.981551053705,4,4
1,26,711026,5,3,1,100.0,1.0,73425.73044913799,0.0027840447993778784,0.04951893304215318,204.42052299744455,3635.963829682052,4,4
1,27,711027,5,3,1,100.0,1.0,312917.3616570932,0.0026456691225145794,0.05074311433605331,827.8758016348991,15878.401460302026,4,4
1,28,711028,5,3,1,100.0,1.0,63984.90252802509,0.003074826213996884,0.050365371508394846,196.74245559320707,3222.6233867524165,4,4
1,29,711029,5,3,1,100.0,1.0,15196.314573277336,0.0033906637845900565,0.04971095340551336,51.52559348284956,755.4232856877132,4,4
1,30,711030,5,3,1,100.0,1.0,23132.745002318276,0.002494981683129855,0.0501661096265967,57.71577506129779,1160.4798217504056,4,4
1,31,711031,5,3,1,100.0,1.0,223520.3614699078,0.0026453195389954105,0.050780554427873784,591.282779559664,11350.487881360676,4,4
1,32,711032,5,3,1,100.0,1.0,312255.4679498447,0.002906647543740773,0.05004965911262389,907.6165889360418,15628.279726942583,4,4
1,33,711033,5,3,1,100.0,1.0,231961.80126790542,0.002996883785118042,0.049871085771757945,695.1625609865594,11568.186886803182,4,4
1,34,711034,5,3,1,100.0,1.0,560234.4968923087,0.0023949931998410645,0.049767704005768534,1341.7578103734593,27881.584615157073,4,4
1,35,711035,5,3,1,100.0,1.0,19264.953019748966,0.0019140759458315052,0.05060088409492817,36.874583172675514,974.8236548465538,4,4
1,36,711036,5,3,1,100.0,1.0,316342.54704636714,0.002417457906117382,0.04980847881854229,764.7447913985501,15756.541053962697,4,4
1,37,711037,5,3,1,100.0,1.0,58450.35939915401,0.002654832111471214,0.049876165108813535,155.17589105990737,2915.2797760616963,4,4
1,38,711038,5,3,1,100.0,1.0,289319.7686117676,0.0027893738168584476,0.05014957253906923,807.0209872652091,14509.262722982565,4,4
1,39,711039,5,3,1,100.0,1.0,441073.0149791194,0.0026656156873273522,0.049609065938818135,1175.731147985113,21881.220283932453,4,4
1,40,711040,5,3,1,100.0,1.0,247306.94562201353,0.002780033002949427,0.050618470965966125,687.521470687817,12518.299446649655,4,4
1,41,711041,5,3,1,100.0,1.0,88820.38703194734,0.002449313235651019,0.04966858209021084,217.5489495529947,4411.582684580575,4,4
1,42,711042,5,3,1,100.0,1.0,391143.90160373854,0.002749248425958955,0.05086613674458915,1075.3517558075225,19895.979185787888,4,4
1,43,711043,5,3,1,100.0,1.0,10642.006929008114,0.003081575528082269,0.051044574758106934,32.79414812211334,543.2167182640467,4,4
1,44,711044,5,3,1,100.0,1.0,245051.814105842,0.0022225259416222263,0.050111873768339865,544.6340138918213,12280.00557517464,4,4
1,45,711045,5,3,1,100.0,1.0,151979.84833914775,0.0024927165519820866,0.049138564051511104,378.84268352272085,7468.071512152155,4,4
1,46,711046,5,3,1,100.0,1.0,50800.98430935078,0.003082451342938277,0.05029190995754942,156.59156230694467,2554.87852864075,4,4
1,47,711047,5,3,1,100.0,1.0,399860.74474162015,0.0025242813921640453,0.04927829828020293,1009.3610374081288,19704.457049921642,4,4
1,48,711048,5,3,1,100.0,1.0,268768.83452993113,0.002794187288823873,0.04976635676333019,750.9904610755403,13375.64570608101,4,4
1,49,711049,5,3,1,100.0,1.0,155466.35640755735,0.0025742979080491707,0.04979541968538353,400.21671607200165,7741.512464271733,4,4
1,50,711050,5,3,1,100.0,1.0,76253.67036369571,0.0029313446623936475,0.05016291929278706,223.52578960854407,3825.1067122328564,4,4
1,51,711051,5,3,1,100.0,1.0,3612.2184289874604,0.002966138409361528,0.051887737265092486,10.714339825223263,187.42984078742649,4,4
1,52,711052,5,3,1,100.0,1.0,30343.08312814332,0.0030278384651747925,0.04836897190652759,91.87395424738861,1467.6637353825956,4,4
1,53,711053,5,3,1,100.0,1.0,10576.870266200196,0.00548542245244079,0.055355137342800745,58.01860163476795,585.4841062424973,4,4
1,54,711054,5,3,1,100.0,1.0,22773.987587417694,0.0025281140933704344,0.05270511571074232,57.575238981994005,1200.305650989859,4,4
1,55,711055,5,3,1,100.0,1.0,90130.20605973735,0.0027007956208431514,0.04852493259562432,243.4232658318295,4373.562173878486,4,4
1,56,711056,5,3,1,100.0,1.0,55754.2005605441,0.0030953855621209414,0.051972752496135484,172.5807474427035,2897.699266353057,4,4
1,57,711057,5,3,1,100.0,1.0,52964.10007587274,0.0024939812984569906,0.049232658293755005,132.09147507883108,2607.563440871686,4,4
1,58,711058,5,3,1,100.0,1.0,59022.29657541678,0.0027330018724097196,0.05144931199889544,161.30804705453585,3036.6565513999562,4,4
1,59,711059,5,3,1,100.0,1.0,125903.26232111227,0.002635968007845632,0.05032088050594641,331.87697156184834,6335.563018569515,4,4
1,60,711060,5,3,1,100.0,1.0,226298.84894784464,0.0027422893966602933,0.049355702463799604,620.5769339461037,11169.13865657015,4,4
1,61,711061,5,3,1,100.0,1.0,156205.02766061935,0.002439915377627572,0.05052687944135878,381.12704905188536,7892.552600742228,4,4
1,62,711062,5,3,1,100.0,1.0,99988.85994394925,0.0024186181601490797,0.050149509698836414,241.83487247303856,5014.392301534679,4,4
