run,time,event,machine,healthy,working,spares,broken,busy,queue
1,326.07631286321947,failure,4,12,10,2,1,0,1
1,326.07631286321947,repair_start,4,12,10,2,1,1,0
1,328.94037929504174,repair_complete,4,13,10,3,0,0,0
1,335.6560479862449,failure,3,12,10,2,1,0,1
1,335.6560479862449,repair_start,3,12,10,2,1,1,0
1,337.8243217918831,repair_complete,3,13,10,3,0,0,0
1,341.75322452661885,failure,7,12,10,2,1,0,1
1,341.75322452661885,repair_start,7,12,10,2,1,1,0
1,343.0044758946498,failure,1,11,10,1,2,1,1
1,343.14712866547677,repair_complete,7,12,10,2,1,0,1
1,343.14712866547677,repair_start,1,12,10,2,1,1,0
1,343.94465376233677,repair_complete,1,13,10,3,0,0,0
1,352.0615748534792,failure,10,12,10,2,1,0,1
1,352.0615748534792,repair_start,10,12,10,2,1,1,0
1,353.11751575712117,repair_complete,10,13,10,3,0,0,0
1,356.5065125350493,failure,12,12,10,2,1,0,1
1,356.5065125350493,repair_start,12,12,10,2,1,1,0
1,358.9016157884303,repair_complete,12,13,10,3,0,0,0
1,371.07501025252435,failure,6,12,10,2,1,0,1
1,371.07501025252435,repair_start,6,12,10,2,1,1,0
1,372.66473748001783,repair_complete,6,13,10,3,0,0,0
1,379.18285470967874,failure,5,12,10,2,1,0,1
1,379.18285470967874,repair_start,5,12,10,2,1,1,0
1,379.25766421819526,repair_complete,5,13,10,3,0,0,0
1,389.099465745232,failure,2,12,10,2,1,0,1
1,389.099465745232,repair_start,2,12,10,2,1,1,0
1,392.46648607240434,repair_complete,2,13,10,3,0,0,0
1,394.4067412075838,failure,12,12,10,2,1,0,1
1,394.4067412075838,repair_start,12,12,10,2,1,1,0
1,394.7539608499711,repair_complete,12,13,10,3,0,0,0
1,399.6339242667216,failure,10,12,10,2,1,0,1
1,399.6339242667216,repair_start,10,12,10,2,1,1,0
1,399.94350242107834,repair_complete,10,13,10,3,0,0,0
1,404.58829716501066,failure,8,12,10,2,1,0,1
1,404.58829716501066,repair_start,8,12,10,2,1,1,0
