experiment,seed,λ,μ,c,customers,warmup,observed,t0,t1,Wq,W,Lq,L,utilization,p_wait,mean_service,little_Lq_residual,little_L_residual,rho,stable,theory_Wq,theory_W,theory_Lq,theory_L,theory_p_wait
1,7001,0.3,0.5,1,20000,2000,18000,6946.510863039836,67461.20829508947,3.1830146839532247,5.212811081322872,0.9468192831353514,1.5506398818325586,0.6038205986972157,0.6051666666666666,2.0297963973696467,-0.008085122050616067,-0.013203442564303058,0.6,true,2.9999999999999996,5.0,0.8999999999999998,1.5,0.6
2,7002,0.6,0.5,1,20000,2000,18000,3301.1170715985,33104.65927728542,3837.5001247345135,3839.4964963186117,1908.5199816739057,1909.519981673923,1.0,1.0,1.9963715840981688,-393.98009316680213,-394.17791611724374,1.2,false,,,,,
3,7003,0.9,0.5,1,20000,2000,18000,2237.571112492565,22249.77338280384,9690.747834919383,9692.757939713942,4787.5406643459555,4788.540664345972,1.0,1.0,2.010104794559923,-3934.1323870814886,-3934.941481396576,1.8,false,,,,,
4,7004,0.3,0.5,2,20000,2000,18000,6668.195420754629,66575.30419295523,0.2089834517550203,2.2250499210342753,0.06279224967932275,0.6684569135019981,0.30283233191133774,0.14705555555555555,2.0160664692792554,9.721415281666035e-5,0.0009419371917155361,0.3,true,0.19780219780219782,2.197802197802198,0.059340659340659345,0.6593406593406593,0.13846153846153847
5,7005,0.6,0.5,2,20000,2000,18000,3262.876776946726,33163.88662482445,1.1520948833948672,3.15432917145958,0.6935454021991669,1.8988593522678197,0.6026569750343248,0.4538333333333333,2.002234288064713,0.002288472162246591,0.006261849392071639,0.6,true,1.1249999999999998,3.125,0.6749999999999998,1.875,0.44999999999999996
6,7006,0.9,0.5,2,20000,2000,18000,2111.0878948114096,21945.79495167836,9.128937444300744,11.103156961053957,8.295845598289137,10.089339926373768,0.8967471640423386,0.8472777777777778,1.9742195167532117,0.07980189841846652,0.09649866142520658,0.9,true,8.526315789473687,10.526315789473687,7.673684210526318,9.473684210526319,0.8526315789473685
7,7007,0.3,0.5,3,20000,2000,18000,6535.0615049217795,66123.1948780954,0.0201246690046012,2.015910535383792,0.0060791305512836,0.6089502610240513,0.20095704349092255,0.025333333333333333,1.9957858663791905,4.1729849903240565e-5,0.004177100408913725,0.19999999999999998,true,0.020547945205479444,2.0205479452054793,0.006164383561643833,0.6061643835616438,0.024657534246575335
8,7008,0.6,0.5,3,20000,2000,18000,3344.739458332166,33110.75937410515,0.1474713321948769,2.139837400793736,0.08917833109764116,1.2939197763920751,0.4015804817648121,0.1365,1.9923660685988587,0.0006955317807150196,0.010017335915833536,0.39999999999999997,true,0.15686274509803916,2.156862745098039,0.09411764705882349,1.2941176470588234,0.14117647058823526
9,7009,0.9,0.5,3,20000,2000,18000,2226.9989699086063,22339.061579923182,0.5676536036535824,2.5654963588236304,0.50771395781049,2.2951452673469372,0.5958104365121536,0.3471666666666667,1.9978427551700475,-0.00317428547773424,-0.013801455594330214,0.6,true,0.5912408759124088,2.591240875912409,0.5321167883211679,2.332116788321168,0.35474452554744534
10,7010,0.3,0.5,4,20000,2000,18000,6483.684216924205,65541.15111066765,0.0009653198788314512,2.0014713908475534,0.000294217797221623,0.6100245588754282,0.1524325852695516,0.0027222222222222222,2.000506070968722,4.621833572187684e-6,0.009583141621162139,0.15,true,0.002050658869099609,2.0020506588691,0.0006151976607298826,0.6006151976607299,0.003486120077469335
11,7011,0.6,0.5,4,20000,2000,18000,3424.8590886216293,33479.93196294086,0.027860613702315986,2.0283057047371744,0.016685737171184514,1.214789050504974,0.2995258283334473,0.03833333333333333,2.000445091034858,-3.063105020507592e-5,-0.0021943723373305524,0.3,true,0.02646410193580006,2.0264641019358,0.015878461161480034,1.21587846116148,0.03704974271012008
12,7012,0.9,0.5,4,20000,2000,18000,2212.0870837487482,22403.643327548376,0.10316436430540256,2.096112862829008,0.09196708441269733,1.8685361113143881,0.4441422567254238,0.12194444444444444,1.9929484985236054,-0.0008808434621649791,-0.017965465231719158,0.45,true,0.11684876980204631,2.116848769802046,0.10516389282184169,1.9051638928218415,0.12853364678225096
