experiment,N,S,repairers,replications,mean_time,se,ci_low,ci_high,theory_time,relative_error,ci_contains_theory,utilization,theory_utilization,mean_queue,theory_queue
1,5,3,1,200,187130.07210356806,15743.45425651325,156084.6644533086,218175.47975382753,177279.9999999448,0.05556222982641201,true,0.04999537334184205,0.0499774368231006,0.002613245693756255,0.002594765342960076
2,10,3,1,200,12102.434063383702,875.1461044707789,10376.683975496118,13828.184151271285,12339.999999998923,-0.019251696646291894,true,0.09968707798019068,0.09967585089140786,0.01051424218033345,0.010534846029173187
3,20,3,1,200,985.0226736459791,72.85670620753028,841.3524150474123,1128.692932244546,970.0000000000116,0.01548729241852298,true,0.19598329363059422,0.1958762886597931,0.04132608556271753,0.04123711340206171
4,5,3,2,200,700789.7774690363,51294.0108540135,599640.2170845438,801939.3378535288,690079.9999993145,0.015519617246887885,true,0.025004046396314296,0.024997101785292377,2.939032195767642e-5,2.8982146997440443e-5
5,10,3,2,200,52858.15018012112,3778.5802034799435,45406.954219888714,60309.346140353526,46539.99999998552,0.13575741684867992,true,0.04996784002503202,0.049957026214005336,0.00021326833486798866,0.00021486892995271114
6,20,3,2,200,3331.382614204057,236.12123958162755,2865.76179057423,3797.003437833884,3395.000000000095,-0.01873855251724188,true,0.09960003458824453,0.09941089837996915,0.001531610386703391,0.001472754050073617
7,5,3,3,200,1.0035027450025135e6,76581.90360298836,852486.5590213435,1.1545189309836836e6,1.0264799999984821e6,-0.022384513089395375,true,0.016673977033017474,0.016665367729189695,0.0,0.0
8,10,3,3,200,67627.87778982142,5166.639639687005,57439.488940550094,77816.26663909273,68639.99999996863,-0.014745370194459095,true,0.033271027235225764,0.033313908313904225,0.0,0.0
9,20,3,3,200,4749.866987865877,354.6212101365049,4050.5693718067187,5449.1646039250345,4920.000000000203,-0.03457988051510552,true,0.06646928460212799,0.06639566395663814,0.0,0.0
