beta,detection_time,death_rate,peak,death_fraction
0.5,7,0.02,0.8000666666666667,0.08533333333333333
0.30538143851567445,8,0.010376279884169715,0.5999972682701672,0.030733333333333335
0.5306322309672514,6,0.012965709380531378,0.8000666666666667,0.06033333333333333
0.3316039155115364,12,0.08763716431010492,1.0,0.37340000000000007
0.7574929341343675,13,0.034430339560644285,1.0,0.19119999999999998
0.9925811086157539,3,0.08489651295707967,1.0,0.43200000000000005
0.8717288305937673,7,0.042306232964088135,1.0,0.2538
0.4730760511302543,14,0.06673846672146362,1.0,0.3327333333333333
0.2990039968011119,8,0.09588576859145007,0.5999989470023172,0.24433333333333335
0.11529502002285981,4,0.09648111312801125,0.0004,6.666666666666667e-5
0.8852318627521988,9,0.04536807289601892,1.0,0.26186666666666664
0.22466413849283082,13,0.09847417586483549,0.8000199419152226,0.28826666666666667
0.16292171154835877,10,0.01412199234071963,0.39898876501647884,0.012666666666666668
0.4345927487358291,5,0.09012747406707705,0.6001333333333333,0.23513333333333333
0.20797711074149666,6,0.06277539044525683,0.2164035405870361,0.013333333333333332
0.13756213399253636,12,0.02679451865095974,0.489946945210168,0.017599999999999998
0.36740165445389994,12,0.04389728740728075,1.0,0.21413333333333334
0.6588781381063568,7,0.039482983747714584,0.8000666666666667,0.17313333333333333
0.7817767545302282,9,0.05412289868154112,1.0,0.29866666666666664
0.26673696121957957,8,0.056786000543402666,0.5999815306767868,0.14286666666666667
0.5486672060805925,3,0.05310390567171899,0.40026666666666666,0.06973333333333334
0.5166384835363451,11,0.07635967551590643,1.0,0.37573333333333336
0.8231689460273943,13,0.0738947428045063,1.0,0.3972666666666666
0.3232925682596142,9,0.05806122472448703,0.6001333333333333,0.16326666666666667
0.693356624780633,12,0.07006561890812543,1.0,0.3591333333333333
0.6335684948185762,13,0.0353881983200282,1.0,0.19126666666666667
0.7114950574305773,7,0.020809754698218195,1.0,0.12033333333333333
0.9701185666349303,10,0.06600072744939794,1.0,0.38153333333333334
0.96041632748304,14,0.08041304230473856,1.0,0.44513333333333344
0.13072487194884672,5,0.020441827891017512,0.0008,0.0
0.6823155291589504,13,0.018745362618386725,1.0,0.10893333333333335
0.3953655794683604,6,0.0257513240083119,0.6001332888592394,0.07766666666666666
0.7230737474891364,8,0.02769865017729644,1.0,0.158
0.9128567542101942,6,0.01543900909688785,1.0,0.10206666666666667
0.2467324487948336,11,0.02983605864579418,0.9996575743162992,0.1248
0.40337245435939384,4,0.050057882487932664,0.2003992639678822,0.0482
0.3497395496622784,5,0.08225505010005281,0.5998996094090838,0.19833333333333333
0.8270501265126031,12,0.0685828272112121,1.0,0.37033333333333335
0.8507745165480578,5,0.04873192178699908,1.0,0.27513333333333334
0.19996559143069625,3,0.09458826494279121,0.0007333333333333333,6.666666666666667e-5
0.5955954645256367,4,0.01155739123331888,0.40026666666666666,0.023799999999999998
0.45616621595348505,9,0.08893666655361414,0.8000666666666667,0.3419333333333333
0.5819706774540303,10,0.06357558603512235,0.8000666666666667,0.2615333333333333
0.8021335012099299,7,0.07203612059877212,1.0,0.3769333333333333
0.5017643859510195,10,0.06093916093505701,0.8000666666666667,0.2542
0.7442267909286533,8,0.04101266298503963,1.0,0.23173333333333335
0.28464037067073633,9,0.051671988954951016,0.5999994196926128,0.13733333333333334
0.9031851622506023,5,0.0782152408055028,1.0,0.4162
0.44822571999506877,11,0.08358467998602066,1.0,0.3906666666666666
0.5658877987080047,10,0.022658001783829318,0.8000666666666667,0.10253333333333332
0.9422146133042187,4,0.09207427449045996,1.0,0.4711333333333333
0.1772662052507888,6,0.03697921042462563,0.008631168711748181,0.0008666666666666666
0.10403456055242873,4,0.08381493867268837,0.0004,0.0
