beta,peak,final_inf,final_rec,deaths,death_fraction,detection
0.1,0.0004444444444444444,0.0,0.0004444444444444444,0.0,0.0,3
0.2,0.0005555555555555556,0.0,0.0005555555555555556,0.0,0.0,3
0.3,0.0011111111111111111,0.0,0.0016666666666666668,0.0,0.0,3
0.4,0.33180713220960895,0.32296762170976007,0.012254600512462147,46.0,0.015333333333333332,3
0.5,0.6663313990254064,0.645471704339218,0.021306073438559833,165.0,0.05499999999999999,3
0.6,0.6667777777777778,0.6644512982319205,0.0023264795458572854,204.66666666666666,0.06822222222222223,3
0.7,1.0,0.9958803949309577,0.004119605069042347,330.6666666666667,0.11022222222222222,3
0.8,1.0,0.9927442412479307,0.007255758752069213,349.6666666666667,0.11655555555555557,3
0.9,1.0,0.9621011494803039,0.037898850519696166,361.6666666666667,0.12055555555555554,3
1.0,1.0,0.978203211200713,0.021796788799287124,387.3333333333333,0.1291111111111111,3
0.1,0.000888888888888889,0.0,0.0011111111111111111,0.0,0.0,7
0.2,0.33220598031510795,0.3199674569967457,0.013810320781032078,44.0,0.014666666666666666,7
0.3,0.6666591538157375,0.6439546941619719,0.022823083615805862,208.0,0.06933333333333334,7
0.4,0.6668888888888889,0.6297222203377437,0.03716666855114512,226.66666666666666,0.07555555555555556,7
0.5,1.0,0.9966253028541973,0.003374697145802746,317.6666666666667,0.10588888888888888,7
0.6,1.0,0.9933517224548868,0.0066482775451131675,348.0,0.116,7
0.7,1.0,0.9621267723266413,0.03787322767335867,361.3333333333333,0.12044444444444445,7
0.8,1.0,0.9463482958474646,0.05365170415253554,356.3333333333333,0.11877777777777777,7
0.9,1.0,0.9634783387470343,0.036521661252965736,385.6666666666667,0.12855555555555553,7
1.0,1.0,1.0,0.0,407.3333333333333,0.13577777777777778,7
