time,susceptible,infected,recovered,population,effective_reproduction
32.9,229.33630562192786,39.405977683863945,731.2577166942087,1000.0000000000006,0.45867261124385544
33.0,228.88792892384444,38.87584473180705,732.236226344349,1000.0000000000005,0.45777585784768865
33.1,228.44644821909782,38.35199052170631,733.2015612591964,1000.0000000000006,0.45689289643819536
33.2,228.01175566250654,37.83436654057651,734.1538777969174,1000.0000000000005,0.4560235113250129
33.3,227.5837450940642,37.32292380953356,735.0933310964027,1000.0000000000005,0.4551674901881282
33.4,227.16231203869825,36.81761288415886,736.0200750771434,1000.0000000000005,0.45432462407739627
33.5,226.74735367766007,36.318383901892894,736.9342624204476,1000.0000000000005,0.45349470735531994
33.6,226.33876882499231,35.82518663229191,737.8360445427163,1000.0000000000005,0.4526775376499844
33.7,225.93645788634208,35.33797051336593,738.7255716002925,1000.0000000000005,0.45187291577268396
33.8,225.54032283182627,34.8566846838627,739.6029924843116,1000.0000000000006,0.4510806456636523
33.9,225.1502671946821,34.38127798506865,740.4684548202498,1000.0000000000006,0.45030053438936396
34.0,224.76619603727664,33.91169901431349,741.3221049484105,1000.0000000000007,0.449532392074553
34.1,224.38801593571975,33.44789615288278,742.164087911398,1000.0000000000006,0.4487760318714392
34.2,224.01563493246545,32.98981760669875,742.9945474608363,1000.0000000000005,0.4480312698649307
34.3,223.64896252269577,32.53741142116808,743.8136260561367,1000.0000000000006,0.4472979250453913
34.4,223.28790964862833,32.09062548845721,744.621464862915,1000.0000000000006,0.4465758192972564
34.5,222.93238866488474,31.649407600701238,745.4182037344145,1000.0000000000005,0.44586477732976926
34.6,222.58231332228291,31.213705465287667,746.20398121243,1000.0000000000006,0.4451646266445656
34.7,222.2375987250971,30.783466740057307,746.9789345348462,1000.0000000000006,0.4444751974501939
34.8,221.898161326931,30.358639037527592,747.7431996355419,1000.0000000000005,0.44379632265386176
34.9,221.56391891533113,29.939169943765254,748.4969111409042,1000.0000000000006,0.443127837830662
35.0,221.2347905856067,29.52500705818049,749.2402023562133,1000.0000000000005,0.4424695811712132
35.1,220.91069671370587,29.1160980084468,749.9732052778479,1000.0000000000006,0.4418213934274115
35.2,220.59155892948098,28.712390471891403,750.6960505986282,1000.0000000000006,0.4411831178589617
35.3,220.27730011486275,28.3138321773022,751.4088677078356,1000.0000000000006,0.44055460022972526
35.4,219.9678443772275,27.92037093723353,752.1117846855396,1000.0000000000007,0.4399356887544547
35.5,219.66311703481014,27.531954664826234,752.8049283003643,1000.0000000000007,0.43932623406961996
35.6,219.36304457908963,27.148531395175432,753.4884240257355,1000.0000000000006,0.438726089158179
35.7,219.06755466705195,26.770049291176065,754.1623960417726,1000.0000000000006,0.43813510933410366
35.8,218.7765761112942,26.39645665326212,754.8269672354444,1000.0000000000007,0.43755315222258806
35.9,218.49003885552432,26.027701949548575,755.4822591949278,1000.0000000000007,0.43698007771104835
36.0,218.2078739532565,25.663733824491754,756.1283922222524,1000.0000000000007,0.4364157479065127
36.1,217.9300135424552,25.304501113472913,756.7654853440725,1000.0000000000007,0.4358600270849101
36.2,217.65639084354083,24.949952844347216,757.3936563121126,1000.0000000000007,0.4353127816870814
36.3,217.3869401371696,24.60003825958322,758.0130216032478,1000.0000000000007,0.4347738802743389
36.4,217.1215967504639,24.25470682828731,758.6236964212494,1000.0000000000007,0.4342431935009275
36.5,216.8602970252047,23.913908258607595,759.2257947161884,1000.0000000000007,0.4337205940504091
36.6,216.6029783119052,23.57759250104338,759.819429187052,1000.0000000000006,0.4332059566238101
36.7,216.34957895875777,23.245709757262247,760.4047112839806,1000.0000000000007,0.43269915791751523
36.8,216.1000382928562,22.918210499320722,760.9817512078237,1000.0000000000006,0.43220007658571213
36.9,215.85429659781258,22.595045475067806,761.5506579271203,1000.0000000000007,0.4317085931956249
37.0,215.61229509647535,22.276165715259964,762.1115391882653,1000.0000000000006,0.43122459019295045
37.1,215.37397594760046,21.96152253568168,762.6645015167186,1000.0000000000007,0.4307479518952006
37.2,215.1392822258325,21.651067554074338,763.2096502200939,1000.0000000000007,0.4302785644516647
37.3,214.90815790765737,21.34475269551532,763.747089396828,1000.0000000000007,0.42981631581531443
37.4,214.68054784656417,21.042530198814934,764.2769219546216,1000.0000000000007,0.429361095693128
37.5,214.456397770492,20.744352617600494,764.7992496119082,1000.0000000000007,0.4289127955409837
37.6,214.23565426666775,20.450172830418705,765.3141729029142,1000.0000000000006,0.42847130853333526
37.7,214.0182647694338,20.15994404941088,765.821791181156,1000.0000000000007,0.42803652953886734
37.8,213.80417753537378,19.873619823555376,766.3222026410715,1000.0000000000007,0.4276083550707473
37.9,213.59334163656976,19.591154040519346,766.8155043229116,1000.0000000000007,0.42718668327313924
38.0,213.38570695248697,19.312500930874823,767.3017921166388,1000.0000000000006,0.4267714139049737
38.1,213.18122415481471,19.0376150788517,767.7811607663342,1000.0000000000007,0.42636244830962916
38.2,212.97984468930514,18.766451422877513,768.2537038878179,1000.0000000000006,0.42595968937861006
38.3,212.78152076225962,18.498965257757156,768.7195139799838,1000.0000000000007,0.42556304152451896
38.4,212.58620533703547,18.235112236043946,769.1786824269211,1000.0000000000005,0.42517241067407074
38.5,212.39385211843077,17.974848377115116,769.6312995044547,1000.0000000000006,0.4247877042368613
38.6,212.2044155397233,17.718130068105076,770.0774543921722,1000.0000000000006,0.4244088310794464
38.7,212.01785074472104,17.464914064667607,770.5172351906119,1000.0000000000006,0.42403570148944186
38.8,211.8341135856022,17.215157491474308,770.950728922924,1000.0000000000005,0.4236682271712042
38.9,211.65316060949257,16.968817848235833,771.3780215422721,1000.0000000000005,0.423306321218985
39.0,211.47494904800055,16.725853012108896,771.7991979398911,1000.0000000000006,0.42294989809600086
39.1,211.29943679787823,16.48622123651197,772.2143419656104,1000.0000000000006,0.4225988735957562
39.2,211.12658241803024,16.249881151348674,772.6235364306216,1000.0000000000005,0.4222531648360603
39.3,210.95634511916003,16.0167917663065,773.0268631145341,1000.0000000000007,0.4219126902383198
39.4,210.78868475411042,15.786912474325943,773.4244027715642,1000.0000000000006,0.4215773695082206
39.5,210.6235617995544,15.560203048894738,773.8162351515514,1000.0000000000006,0.4212471235991086
39.6,210.46093735084204,15.336623643888624,774.2024390052699,1000.0000000000006,0.42092187470168385
39.7,210.3007731150032,15.116134795008653,774.5830920899887,1000.0000000000006,0.4206015462300062
39.8,210.1430314004283,14.898697423425526,774.9582711761467,1000.0000000000005,0.4202860628008564
39.9,209.98767510160698,14.684272832384805,775.3280520660088,1000.0000000000006,0.41997535020321375
40.0,209.83466769112758,14.47282270627614,775.6925096025968,1000.0000000000006,0.4196693353822549
40.1,209.68397321547906,14.264309111103133,776.0517176734184,1000.0000000000006,0.41936794643095787
40.2,209.5355562840746,14.058694497398525,776.4057492185274,1000.0000000000005,0.419071112568149
40.3,209.3893820572838,13.855941697035881,776.7546762456808,1000.0000000000005,0.4187787641145674
40.4,209.24541623603383,13.656013921152445,777.0985698428143,1000.0000000000006,0.4184908324720674
40.5,209.10362505917723,13.458874760191275,777.4375001806321,1000.0000000000007,0.4182072501183542
40.6,208.96397529302706,13.264488185742897,777.7715365212306,1000.0000000000006,0.41792795058605386
40.7,208.8264342214977,13.072818547941749,778.1007472305612,1000.0000000000007,0.4176528684429951
40.8,208.6909696344205,12.883830572184182,778.4251997933959,1000.0000000000006,0.41738193926884076
40.9,208.55754982558562,12.697489358949476,778.7449608154656,1000.0000000000007,0.41711509965117094
41.0,208.42614358326367,12.513760384619696,779.0600960321173,1000.0000000000007,0.41685228716652706
41.1,208.29672018178954,12.332609499461878,779.3706703187493,1000.0000000000007,0.4165934403635788
41.2,208.1692493693597,12.154002923305447,779.6767477073355,1000.0000000000007,0.41633849873871914
41.3,208.04370136622012,11.97790724517679,779.9783913886037,1000.0000000000006,0.41608740273244
41.4,207.92004685631306,11.80428942329096,780.2756637203966,1000.0000000000006,0.41584009371262587
41.5,207.79825697988403,11.633116783478375,780.5686262366382,1000.0000000000007,0.41559651395976777
41.6,207.6783033213045,11.464357014070375,780.8573396646258,1000.0000000000007,0.4153566066426087
41.7,207.56015790710617,11.297978165312465,781.141863927582,1000.0000000000007,0.41512031581421205
41.8,207.44379319873664,11.133948648749799,781.4222581525141,1000.0000000000006,0.41488758639747303
41.9,207.32918208589723,10.972237235920836,781.6985806781826,1000.0000000000007,0.4146583641717942
42.0,207.21629787477016,10.812813052713107,781.9708890725174,1000.0000000000007,0.41443259574954006
42.1,207.10511428574807,10.655645578504311,782.2392401357482,1000.0000000000006,0.4142102285714959
42.2,206.99560544721314,10.500704645142804,782.5036899076447,1000.0000000000007,0.413991210894426
42.3,206.88774588939611,10.347960435743023,782.7642936748614,1000.0000000000006,0.41377549177879197
42.4,206.7815105332542,10.197383478749034,783.0211059879973,1000.0000000000006,0.41356302106650816
42.5,206.676874687843,10.0489446467634,783.2741806653942,1000.0000000000006,0.41335374937568575
42.6,206.57381404500688,9.902615155285753,783.523570799708,1000.0000000000006,0.41314762809001354
42.7,206.4723046736109,9.758366561477244,783.7693287649124,1000.0000000000006,0.41294460934722155
42.8,206.37232300920897,9.61617075812738,784.0115062326643,1000.0000000000006,0.4127446460184177
42.9,206.27384585107,9.475999972152087,784.2501541767786,1000.0000000000007,0.41254769170213973
43.0,206.1768503576584,9.337826763212037,784.4853228791302,1000.0000000000007,0.4123537007153165
43.1,206.0813140411424,9.201624022353192,784.717061936505,1000.0000000000007,0.41216262808228454
43.2,205.9872147579075,9.06736496602296,784.9454202760701,1000.0000000000006,0.4119744295158148
43.3,205.894530705289,8.935023134243862,785.1704461604677,1000.0000000000006,0.41178906141057775
43.4,205.80324041772218,8.80457238919463,785.3921871930838,1000.0000000000007,0.4116064808354441
43.5,205.7133227614734,8.675986913673121,785.6106903248541,1000.0000000000006,0.41142664552294655
43.6,205.6247569259893,8.549241205259614,785.8260018687516,1000.0000000000006,0.41124951385197833
43.7,205.53752242041156,8.42431007419472,786.0381675053943,1000.0000000000006,0.4110750448408229
43.8,205.45159907028295,8.301168641974243,786.2472322877434,1000.0000000000006,0.4109031981405657
43.9,205.36696701247806,8.179792339614682,786.4532406479078,1000.0000000000006,0.4107339340249559
44.0,205.2836066873367,8.060156902019045,786.6562364106449,1000.0000000000006,0.4105672133746731
44.1,205.20149883504612,7.942238365605352,786.8562627993491,1000.0000000000006,0.41040299767009203
44.2,205.12062449279765,7.8260130669406465,787.0533624402623,1000.0000000000006,0.41024124898559505
44.3,205.0409649899173,7.711457640816858,787.2475773692664,1000.0000000000006,0.4100819299798344
44.4,204.96250194070436,7.598549014839716,787.4389490444565,1000.0000000000006,0.40992500388140846
44.5,204.88521724076898,7.487264406867503,787.6275183523641,1000.0000000000006,0.4097704344815377
44.6,204.8090930645372,7.377581323685788,787.8133256117776,1000.0000000000006,0.40961818612907414
44.7,204.73411186061048,7.2694775589309035,787.9964105804592,1000.0000000000006,0.4094682237212207
44.8,204.66025634520227,7.162931187887287,788.176812466911,1000.0000000000006,0.4093205126904043
44.9,204.58750949852026,7.0579205648069,788.3545699366734,1000.0000000000006,0.4091750189970403
45.0,204.51585456253252,6.954424321615136,788.5297211158529,1000.0000000000006,0.4090317091250648
45.1,204.4452750365813,6.852421365726287,788.702303597693,1000.0000000000006,0.4088905500731624
45.2,204.37575467131802,6.751890875022794,788.8723544536598,1000.0000000000006,0.4087515093426358
45.3,204.30727746520324,6.652812295123828,789.0399102396735,1000.0000000000006,0.40861455493040627
45.4,204.23982766246803,6.555165338111129,789.2050069994214,1000.0000000000005,0.40847965532493585
45.5,204.1733897489913,6.458929980275012,789.3676802707342,1000.0000000000006,0.40834677949798237
45.6,204.10794844665548,6.364086457251558,789.5279650960936,1000.0000000000006,0.4082158968933107
45.7,204.04348871001645,6.270615261299743,789.6858960286844,1000.0000000000006,0.40808697742003264
45.8,203.97999572441068,6.178497140036492,789.8415071355533,1000.0000000000005,0.40795999144882117
45.9,203.91745490209635,6.087713094146151,789.9948320037581,1000.0000000000007,0.4078349098041924
46.0,203.85585187696745,5.998244372654766,790.1459037503784,1000.0000000000006,0.4077117037539347
46.1,203.79517250143064,5.910072470266465,790.2947550283035,1000.0000000000006,0.40759034500286107
46.2,203.73540284461976,5.823179126097188,790.4414180292836,1000.0000000000005,0.4074708056892393
46.3,203.6765291887966,5.737546321376274,790.5859244898277,1000.0000000000006,0.40735305837759295
46.4,203.61853802437258,5.653156274839639,790.7283057007884,1000.0000000000006,0.40723707604874493
46.5,203.56141604701753,5.569991440168262,790.8685925128148,1000.0000000000006,0.4071228320940348
46.6,203.50515015595147,5.488034504710061,791.006815339339,1000.0000000000006,0.4070103003119027
