contacts,reproduction_number,peak_infected,peak_time,final_recovered
3.0,0.6000000000000001,10.0,0.0,24.364946805108964
5.0,1.0,10.0,0.0,119.67052882257279
7.5,1.5,69.72305020251498,26.1,590.6629179861611
10.0,2.0,158.45122098688057,17.5,800.1424477697806
15.0,3.0,303.7936618940368,10.7,941.2021356434042
