metric,theory,simulation,relative_error
rho,0.9090909090909091,0.914581120237692,0.006039232261461236
L,9.999999999999996,9.524719644321351,0.04752803556786455
Lq,9.090909090909086,8.610138524083625,0.05288476235080073
W,0.3333333333333333,0.31935355052208947,0.04193934843373154
Wq,0.30303030303030304,0.2886886345040613,0.04732750613659776
