mu,rep,I_tail,N_tail,Istar,Sstar,extinct
0.01,1,0.0,1001.571072319202,18.481538461538463,519.48,true
0.01,2,0.0,975.8678304239402,18.481538461538463,519.48,true
0.01,3,0.0,1034.077306733167,18.481538461538463,519.48,true
0.01,4,0.0,972.3042394014963,18.481538461538463,519.48,true
0.01,5,0.0,1055.418952618454,18.481538461538463,519.48,true
0.02,1,0.0,958.7281795511221,34.11407407407407,539.46,true
0.02,2,31.566084788029926,978.1521197007481,34.11407407407407,539.46,false
0.02,3,9.471321695760599,978.7381546134663,34.11407407407407,539.46,true
0.02,4,12.907730673316708,999.5112219451372,34.11407407407407,539.46,true
0.02,5,0.0,1009.5261845386534,34.11407407407407,539.46,true
0.05,1,60.67581047381546,1001.8703241895262,66.76666666666668,599.4,false
0.05,2,63.95511221945137,997.8054862842893,66.76666666666668,599.4,false
0.05,3,66.74812967581047,994.3615960099751,66.76666666666668,599.4,false
0.05,4,69.46633416458853,1002.1122194513715,66.76666666666668,599.4,false
0.05,5,63.57356608478803,984.6284289276808,66.76666666666668,599.4,false
