family,N,I0,beta,c,gamma,T,seed,fixed,sigma,mu,birth_rate,vaccine_time,vaccine_fraction,peak_I,peak_time,S_T,E_T,I_T,R_T,R_fraction,ever_infected,new_infections,births,deaths,vaccinated,contacts,events,extinct,csv
scan,1000,10,0.03,5.0,0.25,40.0,2005,false,Inf,0.0,0.0,-1.0,0.0,13,3.439734720023839,977,0,0,23,0.023,23,13,0,0,0,194989,36,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p25_T=40p0_seed=2005_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.25,40.0,2006,false,Inf,0.0,0.0,-1.0,0.0,10,0.0,976,0,0,24,0.024,24,14,0,0,0,194885,38,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p25_T=40p0_seed=2006_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.25,40.0,2007,false,Inf,0.0,0.0,-1.0,0.0,12,2.8359285353216763,982,0,0,18,0.018,18,8,0,0,0,196344,26,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p25_T=40p0_seed=2007_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.25,40.0,2008,false,Inf,0.0,0.0,-1.0,0.0,13,2.127761498077842,978,0,0,22,0.022,22,12,0,0,0,196039,34,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p25_T=40p0_seed=2008_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.25,40.0,2009,false,Inf,0.0,0.0,-1.0,0.0,15,1.4464952508329134,950,0,3,47,0.047,50,40,0,0,0,193818,87,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p25_T=40p0_seed=2009_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.25,40.0,2010,false,Inf,0.0,0.0,-1.0,0.0,13,1.5695531042504756,965,0,1,34,0.034,35,25,0,0,0,195264,59,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p25_T=40p0_seed=2010_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.4,40.0,2001,false,Inf,0.0,0.0,-1.0,0.0,10,0.0,986,0,0,14,0.014,14,4,0,0,0,197374,18,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p4_T=40p0_seed=2001_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.4,40.0,2002,false,Inf,0.0,0.0,-1.0,0.0,10,0.0,986,0,0,14,0.014,14,4,0,0,0,196788,18,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p4_T=40p0_seed=2002_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.4,40.0,2003,false,Inf,0.0,0.0,-1.0,0.0,10,0.0,988,0,0,12,0.012,12,2,0,0,0,198014,14,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p4_T=40p0_seed=2003_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.4,40.0,2004,false,Inf,0.0,0.0,-1.0,0.0,10,0.0,988,0,0,12,0.012,12,2,0,0,0,197881,14,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p4_T=40p0_seed=2004_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
