mu,mean_tail_I,mean_tail_N,deterministic_Istar,extinction_fraction
0.01,0.0,1007.8478802992519,18.481538461538463,1.0
0.02,10.789027431421447,984.9311720698255,34.11407407407407,0.8
0.05,64.88379052369076,996.1556109725685,66.76666666666668,0.0
