sigma,replicates,peak_mean,peak_sd,peak_time_mean,R_fraction_mean,infected_mean,I_T_mean,extinction_fraction
Inf,10,167.2,24.947945807220282,18.87082686450757,0.7505000000000001,770.5,20.0,0.0
0.25,10,84.0,15.224249662225649,35.59237611004204,0.36469999999999997,512.6,71.1,0.0
0.5,10,115.9,14.35618333680648,33.520979477154164,0.5370000000000001,660.7,87.9,0.0
1.0,10,132.5,16.66166591644158,25.638280849252112,0.6847,742.8,50.7,0.0
