family,N,I0,beta,c,gamma,T,seed,fixed,sigma,mu,birth_rate,vaccine_time,vaccine_fraction,peak_I,peak_time,S_T,E_T,I_T,R_T,R_fraction,ever_infected,new_infections,births,deaths,vaccinated,contacts,events,extinct,csv
duration,1000,10,0.05,10.0,0.25,40.0,3015,false,Inf,0.0,0.0,-1.0,0.0,172,20.609690683984216,265,0,22,713,0.713,735,725,0,0,0,239220,1438,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3015_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3016,false,Inf,0.0,0.0,-1.0,0.0,136,22.964486095960613,217,0,22,761,0.761,783,773,0,0,0,226018,1534,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3016_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3017,false,Inf,0.0,0.0,-1.0,0.0,167,20.97532323687015,203,0,23,774,0.774,797,787,0,0,0,228970,1561,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3017_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3018,false,Inf,0.0,0.0,-1.0,0.0,204,14.641803327762814,195,0,6,799,0.799,805,795,0,0,0,187071,1594,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3018_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3019,false,Inf,0.0,0.0,-1.0,0.0,190,20.71163625004549,239,0,13,748,0.748,761,751,0,0,0,223601,1499,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3019_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3020,false,Inf,0.0,0.0,-1.0,0.0,154,15.593797815273076,223,0,11,766,0.766,777,767,0,0,0,201395,1533,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3020_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,1234,true,Inf,0.0,0.0,-1.0,0.0,316,12.061116256328837,167,0,0,833,0.833,833,823,0,0,0,148941,1656,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=1234_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3002,true,Inf,0.0,0.0,-1.0,0.0,311,10.59365949591556,219,0,0,781,0.781,781,771,0,0,0,156189,1552,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3002_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3003,true,Inf,0.0,0.0,-1.0,0.0,353,9.75131744981266,181,0,0,819,0.819,819,809,0,0,0,142842,1628,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3003_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3004,true,Inf,0.0,0.0,-1.0,0.0,351,10.538651531980584,166,0,0,834,0.834,834,824,0,0,0,144285,1658,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3004_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3005,true,Inf,0.0,0.0,-1.0,0.0,337,11.930583584265973,176,0,0,824,0.824,824,814,0,0,0,159349,1638,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3005_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3006,true,Inf,0.0,0.0,-1.0,0.0,283,11.016186626512338,181,0,0,819,0.819,819,809,0,0,0,154445,1628,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3006_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3007,true,Inf,0.0,0.0,-1.0,0.0,306,10.39475663403345,184,0,0,816,0.816,816,806,0,0,0,155838,1622,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3007_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3008,true,Inf,0.0,0.0,-1.0,0.0,310,9.87581485166382,208,0,0,792,0.792,792,782,0,0,0,148982,1574,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3008_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3009,true,Inf,0.0,0.0,-1.0,0.0,299,12.817616610183595,175,0,0,825,0.825,825,815,0,0,0,153615,1640,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3009_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3010,true,Inf,0.0,0.0,-1.0,0.0,329,10.650770819008757,223,0,0,777,0.777,777,767,0,0,0,159860,1544,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3010_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3011,true,Inf,0.0,0.0,-1.0,0.0,383,10.73806767073155,153,0,0,847,0.847,847,837,0,0,0,134801,1684,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3011_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3012,true,Inf,0.0,0.0,-1.0,0.0,344,11.772545734414985,210,0,0,790,0.79,790,780,0,0,0,161621,1570,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3012_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3013,true,Inf,0.0,0.0,-1.0,0.0,304,11.3786694780757,210,0,0,790,0.79,790,780,0,0,0,165048,1570,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3013_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3014,true,Inf,0.0,0.0,-1.0,0.0,335,10.46009691681695,204,0,0,796,0.796,796,786,0,0,0,153056,1582,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3014_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3015,true,Inf,0.0,0.0,-1.0,0.0,325,12.638034352128312,170,0,0,830,0.83,830,820,0,0,0,152659,1650,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3015_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3016,true,Inf,0.0,0.0,-1.0,0.0,312,11.386764978671286,187,0,0,813,0.813,813,803,0,0,0,155495,1616,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3016_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3017,true,Inf,0.0,0.0,-1.0,0.0,320,12.519083254276774,178,0,0,822,0.822,822,812,0,0,0,155970,1634,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3017_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3018,true,Inf,0.0,0.0,-1.0,0.0,349,10.9458535970765,164,0,0,836,0.836,836,826,0,0,0,145797,1662,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3018_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3019,true,Inf,0.0,0.0,-1.0,0.0,375,11.175806950074948,162,0,0,838,0.838,838,828,0,0,0,137721,1666,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3019_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3020,true,Inf,0.0,0.0,-1.0,0.0,279,11.539326598266593,224,0,0,776,0.776,776,766,0,0,0,164444,1542,true,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3020_fixed=true_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
