time,susceptible,infected,recovered,total,deaths
0,2999,1,0,3000,0
1,2998,2,0,3000,0
2,2994,6,0,3000,0
3,2991,9,0,3000,0
4,2985,15,0,3000,0
5,2969,31,0,3000,0
6,2952,48,0,3000,0
7,2929,71,0,3000,0
8,2870,130,0,3000,0
9,2781,218,0,2999,1
10,2637,360,2,2999,1
11,2410,584,5,2999,1
12,2031,955,12,2998,2
13,1391,1589,18,2998,2
14,481,2483,34,2998,2
15,0,2998,0,2998,2
16,0,2994,4,2998,2
17,0,2994,3,2997,3
18,0,2990,6,2996,4
19,0,2988,6,2994,6
20,0,2965,24,2989,11
21,0,2886,89,2975,25
22,0,2819,146,2965,35
23,0,2866,79,2945,55
24,0,2944,0,2944,56
25,0,2939,4,2943,57
26,0,2937,5,2942,58
27,0,2936,5,2941,59
28,0,2928,10,2938,62
29,0,2897,31,2928,72
30,0,2783,134,2917,83
31,0,2709,192,2901,99
32,0,2739,143,2882,118
33,0,2881,0,2881,119
34,0,2875,5,2880,120
35,0,2874,3,2877,123
36,0,2871,4,2875,125
37,0,2864,9,2873,127
38,0,2841,23,2864,136
39,0,2765,86,2851,149
40,0,2630,204,2834,166
41,0,2629,190,2819,181
42,0,2814,0,2814,186
43,0,2810,2,2812,188
44,0,2809,2,2811,189
45,0,2804,5,2809,191
46,0,2795,12,2807,193
47,0,2776,27,2803,197
48,0,2713,83,2796,204
49,0,2618,164,2782,218
50,0,2644,116,2760,240
51,0,2757,0,2757,243
52,0,2754,2,2756,244
53,0,2750,2,2752,248
54,0,2742,7,2749,251
55,0,2740,7,2747,253
56,0,2723,22,2745,255
57,0,2664,74,2738,262
58,0,2579,145,2724,276
59,0,2592,113,2705,295
60,0,2704,0,2704,296
61,0,2700,3,2703,297
62,0,2701,1,2702,298
63,0,2697,2,2699,301
64,0,2686,11,2697,303
65,0,2665,27,2692,308
66,0,2608,77,2685,315
67,0,2519,154,2673,327
68,0,2511,144,2655,345
69,0,2653,0,2653,347
70,0,2650,3,2653,347
71,0,2652,1,2653,347
72,0,2643,8,2651,349
73,0,2638,12,2650,350
74,0,2626,20,2646,354
75,0,2551,83,2634,366
76,0,2489,131,2620,380
77,0,2441,167,2608,392
78,0,2605,0,2605,395
79,0,2600,3,2603,397
80,0,2601,1,2602,398
81,0,2596,3,2599,401
82,0,2589,7,2596,404
83,0,2573,18,2591,409
84,0,2493,91,2584,416
85,0,2414,160,2574,426
86,0,2362,198,2560,440
87,0,2557,0,2557,443
88,0,2554,3,2557,443
89,0,2554,2,2556,444
90,0,2550,5,2555,445
91,0,2542,12,2554,446
92,0,2537,16,2553,447
93,0,2465,81,2546,454
94,0,2426,107,2533,467
95,0,2411,104,2515,485
96,0,2511,0,2511,489
97,0,2508,3,2511,489
98,0,2510,0,2510,490
99,0,2504,4,2508,492
100,0,2491,13,2504,496
