intensity,seed,peak,peak_time,final_inf,final_rec,deaths,death_fraction
0.0,42,0.16666666666666666,19,0.13882190837065106,0.0,97,0.03233333333333333
0.0,43,0.16666666666666666,16,0.14559125085440874,0.0,74,0.024666666666666667
0.0,44,0.16666666666666666,14,0.14222069910897875,0.001028101439342015,82,0.027333333333333334
0.1,42,1.0,26,0.9900438072481084,0.009956192751891677,489,0.163
0.1,43,1.0,21,0.9454470877768663,0.054552912223133715,562,0.18733333333333332
0.1,44,1.0,19,1.0,0.0,571,0.19033333333333333
0.2,42,1.0,22,0.9563459983831851,0.043654001616814875,526,0.17533333333333334
0.2,43,1.0,19,1.0,0.0,544,0.18133333333333335
0.2,44,1.0,19,1.0,0.0,596,0.19866666666666666
0.3,42,1.0,22,0.932050757265657,0.06794924273434302,557,0.18566666666666667
0.3,43,1.0,22,0.9044298605414274,0.0955701394585726,562,0.18733333333333332
0.3,44,1.0,16,1.0,0.0,573,0.191
0.4,42,1.0,25,0.9819204499799116,0.01807955002008839,511,0.17033333333333334
0.4,43,1.0,22,0.9318923327895595,0.06810766721044045,548,0.18266666666666667
0.4,44,1.0,16,0.999185667752443,0.0008143322475570033,544,0.18133333333333335
0.5,42,1.0,23,0.9781464993929583,0.021853500607041682,529,0.17633333333333334
0.5,43,1.0,18,1.0,0.0,569,0.18966666666666668
0.5,44,1.0,15,0.9987633965375103,0.001236603462489695,574,0.19133333333333333
