time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5,Arbiter
0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4
0.11255562149240037,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,3
0.14372364568461268,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2
0.26560148586889,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
0.36808167480591764,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1.0557941919504348,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1.4584789982490192,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
1.625485432208909,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1.8606271593945638,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
3.9510216665743503,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
4.0127639758253775,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
4.958886485561605,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
5.538330785812802,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
5.615646595413459,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
5.690338999465644,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
5.919389440853015,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
5.944756296984931,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
6.053193957445033,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,2
6.221159207428936,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2
6.309894411147467,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
6.6354909261053,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6.7156573454930655,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6.808210924115154,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
7.459126237391051,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
8.328898049012468,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
8.584392937005813,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
9.784619414445325,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
10.130036143258948,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
10.209577822927342,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
10.407432295199468,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
10.517160072334782,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
10.533871990669853,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
11.109535433109702,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
11.336541590715298,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
11.40544587444781,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
12.326589005721265,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
12.651857958088836,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
12.668486974228372,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13.103084071166963,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
13.922682641656861,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
14.165907002377516,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
14.401000296513526,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
14.425546009130226,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
14.628179400111508,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
16.014858288954983,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
16.322825097338868,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
16.47215014778665,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
16.657794407548266,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17.544909017988278,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
17.69984633381367,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
19.705967552107655,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
19.78461340113148,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
19.84024269577133,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
21.267951564211693,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
22.172668205571235,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
22.20920130655312,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
22.637204067449375,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
22.70650040368411,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
22.889353320369082,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
23.153640019209607,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
24.739118131931164,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
25.36673469121889,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
