time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5,Arbiter
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0
0.1,0.6379851451258448,0.6379851451258448,0.6379851451258448,0.6379851451258448,0.6379851451258448,0.34698107102409026,0.34698107102409026,0.34698107102409026,0.34698107102409026,0.34698107102409026,0.015033783850064783,0.015033783850064783,0.015033783850064783,0.015033783850064783,0.015033783850064783,0.6229513612757801,0.6229513612757801,0.6229513612757801,0.6229513612757801,0.6229513612757801,2.189925725629224
0.2,0.5226054983302442,0.5226054983302442,0.5226054983302442,0.5226054983302442,0.5226054983302442,0.443820869563749,0.443820869563749,0.443820869563749,0.443820869563749,0.443820869563749,0.03357363210600676,0.03357363210600676,0.03357363210600676,0.03357363210600676,0.03357363210600676,0.4890318662242373,0.4890318662242373,0.4890318662242373,0.4890318662242373,0.4890318662242373,1.61302749165122
0.3,0.464002044761136,0.464002044761136,0.464002044761136,0.464002044761136,0.464002044761136,0.4872398400301245,0.4872398400301245,0.4872398400301245,0.4872398400301245,0.4872398400301245,0.048758115208739405,0.048758115208739405,0.048758115208739405,0.048758115208739405,0.048758115208739405,0.4152439295523964,0.4152439295523964,0.4152439295523964,0.4152439295523964,0.4152439295523964,1.320010223805679
0.4,0.42897580992984813,0.42897580992984813,0.42897580992984813,0.42897580992984813,0.42897580992984813,0.5104552827184619,0.5104552827184619,0.5104552827184619,0.5104552827184619,0.5104552827184619,0.06056890735168986,0.06056890735168986,0.06056890735168986,0.06056890735168986,0.06056890735168986,0.3684069025781581,0.3684069025781581,0.3684069025781581,0.3684069025781581,0.3684069025781581,1.14487904964924
0.5,0.40628276972118177,0.40628276972118177,0.40628276972118177,0.40628276972118177,0.40628276972118177,0.5240888926148827,0.5240888926148827,0.5240888926148827,0.5240888926148827,0.5240888926148827,0.06962833766393539,0.06962833766393539,0.06962833766393539,0.06962833766393539,0.06962833766393539,0.33665443205724627,0.33665443205724627,0.33665443205724627,0.33665443205724627,0.33665443205724627,1.0314138486059083
0.6,0.3908908994156298,0.3908908994156298,0.3908908994156298,0.3908908994156298,0.3908908994156298,0.5325623952232532,0.5325623952232532,0.5325623952232532,0.5325623952232532,0.5325623952232532,0.0765467053611168,0.0765467053611168,0.0765467053611168,0.0765467053611168,0.0765467053611168,0.31434419405451286,0.31434419405451286,0.31434419405451286,0.31434419405451286,0.31434419405451286,0.9544544970781483
0.7,0.3801572795524419,0.3801572795524419,0.3801572795524419,0.3801572795524419,0.3801572795524419,0.5380185115493278,0.5380185115493278,0.5380185115493278,0.5380185115493278,0.5380185115493278,0.08182420889823018,0.08182420889823018,0.08182420889823018,0.08182420889823018,0.08182420889823018,0.2983330706542115,0.2983330706542115,0.2983330706542115,0.2983330706542115,0.2983330706542115,0.9007863977622084
0.8,0.37254255074461895,0.37254255074461895,0.37254255074461895,0.37254255074461895,0.37254255074461895,0.5416061847824972,0.5416061847824972,0.5416061847824972,0.5416061847824972,0.5416061847824972,0.08585126447288355,0.08585126447288355,0.08585126447288355,0.08585126447288355,0.08585126447288355,0.28669128627173524,0.28669128627173524,0.28669128627173524,0.28669128627173524,0.28669128627173524,0.862712753723094
0.9,0.3670843313220603,0.3670843313220603,0.3670843313220603,0.3670843313220603,0.3670843313220603,0.5439883702586615,0.5439883702586615,0.5439883702586615,0.5439883702586615,0.5439883702586615,0.08892729841927788,0.08892729841927788,0.08892729841927788,0.08892729841927788,0.08892729841927788,0.2781570329027822,0.2781570329027822,0.2781570329027822,0.2781570329027822,0.2781570329027822,0.8354216566103005
