time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.1,0.8340815753043919,0.8340815753043919,0.8340815753043919,0.8340815753043919,0.8340815753043919,0.158728998382759,0.158728998382759,0.158728998382759,0.158728998382759,0.158728998382759,0.007189426312849239,0.007189426312849239,0.007189426312849239,0.007189426312849239,0.007189426312849239,0.8268921489915425,0.8268921489915425,0.8268921489915425,0.8268921489915425,0.8268921489915425
0.2,0.7184575517505556,0.7184575517505556,0.7184575517505556,0.7184575517505556,0.7184575517505556,0.26025246493295373,0.26025246493295373,0.26025246493295373,0.26025246493295373,0.26025246493295373,0.021289983316490634,0.021289983316490634,0.021289983316490634,0.021289983316490634,0.021289983316490634,0.6971675684340649,0.6971675684340649,0.6971675684340649,0.6971675684340649,0.6971675684340649
0.3,0.6352233285182535,0.6352233285182535,0.6352233285182535,0.6352233285182535,0.6352233285182535,0.32843763837748874,0.32843763837748874,0.32843763837748874,0.32843763837748874,0.32843763837748874,0.03633903310425789,0.03633903310425789,0.03633903310425789,0.03633903310425789,0.03633903310425789,0.5988842954139953,0.5988842954139953,0.5988842954139953,0.5988842954139953,0.5988842954139953
0.4,0.5737237148318061,0.5737237148318061,0.5737237148318061,0.5737237148318061,0.5737237148318061,0.37624255974565185,0.37624255974565185,0.37624255974565185,0.37624255974565185,0.37624255974565185,0.05003372542254219,0.05003372542254219,0.05003372542254219,0.05003372542254219,0.05003372542254219,0.5236899894092637,0.5236899894092637,0.5236899894092637,0.5236899894092637,0.5236899894092637
0.5,0.5272962799071321,0.5272962799071321,0.5272962799071321,0.5272962799071321,0.5272962799071321,0.4110624862624886,0.4110624862624886,0.4110624862624886,0.4110624862624886,0.4110624862624886,0.061641233830379276,0.061641233830379276,0.061641233830379276,0.061641233830379276,0.061641233830379276,0.4656550460767528,0.4656550460767528,0.4656550460767528,0.4656550460767528,0.4656550460767528
0.6,0.4916015092708184,0.4916015092708184,0.4916015092708184,0.4916015092708184,0.4916015092708184,0.4373019854503476,0.4373019854503476,0.4373019854503476,0.4373019854503476,0.4373019854503476,0.07109650527883392,0.07109650527883392,0.07109650527883392,0.07109650527883392,0.07109650527883392,0.4205050039919845,0.4205050039919845,0.4205050039919845,0.4205050039919845,0.4205050039919845
0.7,0.46371606022618866,0.46371606022618866,0.46371606022618866,0.46371606022618866,0.46371606022618866,0.457683298334666,0.457683298334666,0.457683298334666,0.457683298334666,0.457683298334666,0.07860064143914537,0.07860064143914537,0.07860064143914537,0.07860064143914537,0.07860064143914537,0.3851154187870432,0.3851154187870432,0.3851154187870432,0.3851154187870432,0.3851154187870432
0.8,0.4416151526810223,0.4416151526810223,0.4416151526810223,0.4416151526810223,0.4416151526810223,0.4739445816583886,0.4739445816583886,0.4739445816583886,0.4739445816583886,0.4739445816583886,0.08444026566058913,0.08444026566058913,0.08444026566058913,0.08444026566058913,0.08444026566058913,0.35717488702043315,0.35717488702043315,0.35717488702043315,0.35717488702043315,0.35717488702043315
0.9,0.4238639107629685,0.4238639107629685,0.4238639107629685,0.4238639107629685,0.4238639107629685,0.48722831787758114,0.48722831787758114,0.48722831787758114,0.48722831787758114,0.48722831787758114,0.08890777135945037,0.08890777135945037,0.08890777135945037,0.08890777135945037,0.08890777135945037,0.33495613940351804,0.33495613940351804,0.33495613940351804,0.33495613940351804,0.33495613940351804
1.0,0.4094261024138003,0.4094261024138003,0.4094261024138003,0.4094261024138003,0.4094261024138003,0.49830535709349677,0.49830535709349677,0.49830535709349677,0.49830535709349677,0.49830535709349677,0.09226854049270286,0.09226854049270286,0.09226854049270286,0.09226854049270286,0.09226854049270286,0.3171575619210974,0.3171575619210974,0.3171575619210974,0.3171575619210974,0.3171575619210974
1.1,0.39754156536498175,0.39754156536498175,0.39754156536498175,0.39754156536498175,0.39754156536498175,0.507708346117903,0.507708346117903,0.507708346117903,0.507708346117903,0.507708346117903,0.09475008851711526,0.09475008851711526,0.09475008851711526,0.09475008851711526,0.09475008851711526,0.3027914768478664,0.3027914768478664,0.3027914768478664,0.3027914768478664,0.3027914768478664
