lambda,rho,theory_Lq,simulation_Lq,simulation_Wq,utilization
10.0,0.30303030303030304,0.13175230566534915,0.13135103469250384,0.013150849171744076,0.30305694927624244
20.0,0.6060606060606061,0.9324009324009325,0.9198638644381273,0.04608392456003289,0.6048140258877652
25.0,0.7575757575757576,2.367424242424242,2.350167463397448,0.09402752903761273,0.7562557483137539
28.0,0.8484848484848485,4.751515151515153,4.715027508721024,0.1681940626958226,0.8479781916441761
30.0,0.9090909090909091,9.090909090909086,9.091582396044686,0.3027791014079008,0.9095771922804305
31.5,0.9545454545454546,20.045454545454565,20.218700033797745,0.6421900904634474,0.9536363306510661
32.5,0.9848484848484849,64.01515151515157,65.35225141258249,2.0059010779009,0.9851951907117142
