beta,peak,final_inf,final_rec,deaths,death_fraction
0.1,0.0004444444444444444,0.0,0.0004444444444444444,0.0,0.0
0.2,0.0005555555555555556,0.0,0.0005555555555555556,0.0,0.0
0.3,0.0011111111111111111,0.0,0.0016666666666666668,0.0,0.0
0.4,0.33180713220960895,0.32296762170976007,0.012254600512462147,46.0,0.015333333333333332
0.5,0.6663313990254064,0.645471704339218,0.021306073438559833,165.0,0.05499999999999999
0.6,0.6667777777777778,0.6644512982319205,0.0023264795458572854,204.66666666666666,0.06822222222222223
0.7,1.0,0.9958803949309577,0.004119605069042347,330.6666666666667,0.11022222222222222
0.8,1.0,0.9927442412479307,0.007255758752069213,349.6666666666667,0.11655555555555557
0.9,1.0,0.9621011494803039,0.037898850519696166,361.6666666666667,0.12055555555555554
1.0,1.0,0.978203211200713,0.021796788799287124,387.3333333333333,0.1291111111111111
