beta,seed,infection_period,peak,peak_time,final_inf,final_rec,deaths,death_fraction
0.1,42,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.1,43,14,0.0006666666666666666,5,0.0,0.0006666666666666666,0,0.0
0.1,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.2,42,14,0.0006666666666666666,1,0.0,0.0006666666666666666,0,0.0
0.2,43,14,0.0006666666666666666,5,0.0,0.0006666666666666666,0,0.0
0.2,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.3,42,14,0.0023333333333333335,20,0.0,0.004,0,0.0
0.3,43,14,0.0006666666666666666,5,0.0,0.0006666666666666666,0,0.0
0.3,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.4,42,14,0.9920880632954936,91,0.9689028651292803,0.031097134870719776,138,0.046
0.4,43,14,0.003,35,0.0,0.005333333333333333,0,0.0
0.4,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.5,42,14,1.0,39,0.9716878402903811,0.028312159709618874,245,0.08166666666666667
0.5,43,14,0.9986608637428859,52,0.9647272727272728,0.035272727272727275,250,0.08333333333333333
0.5,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.6,42,14,1.0,72,0.9984990619136961,0.00150093808630394,335,0.11166666666666666
0.6,43,14,1.0,70,0.9948548327820654,0.005145167217934583,279,0.093
0.6,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.7,42,14,1.0,15,0.9932049830124575,0.006795016987542469,351,0.117
0.7,43,14,1.0,29,0.9944362017804155,0.00556379821958457,304,0.10133333333333333
0.7,44,14,1.0,61,1.0,0.0,337,0.11233333333333333
0.8,42,14,1.0,15,0.9973282442748092,0.0026717557251908397,380,0.12666666666666668
0.8,43,14,1.0,25,0.9812804193186072,0.018719580681392737,329,0.10966666666666666
0.8,44,14,1.0,18,0.999624060150376,0.00037593984962406017,340,0.11333333333333333
0.9,42,14,1.0,13,0.9883502442690718,0.011649755730928222,339,0.113
0.9,43,14,1.0,13,0.9874429223744292,0.012557077625570776,372,0.124
0.9,44,14,1.0,10,0.9105102817974106,0.0894897182025895,374,0.12466666666666666
1.0,42,14,1.0,10,0.9574059861857253,0.04259401381427475,394,0.13133333333333333
1.0,43,14,1.0,9,1.0,0.0,400,0.13333333333333333
1.0,44,14,1.0,12,0.9772036474164134,0.022796352583586626,368,0.12266666666666666
