flows,throughput_mbps,mean_queue,mean_cwnd,loss_events
5,19.700936536008797,38.32598310907931,124.0194068530839,10
10,19.618060950730346,45.37125639277546,62.43883354612747,53
15,18.574660906729004,41.194995552862714,39.32072890157757,157
20,18.450042033622353,47.9928978933452,29.65839307744908,277
25,18.451375884546202,53.3247759707314,23.93540607633437,456
30,18.721696899386867,63.945612354439916,20.594632897375796,646
40,18.759177133095967,69.09139825734961,15.624832216031807,1063
