time,prey,predator,invariant
0.0,40.0,9.0,-0.7463862939678026
0.1,39.677732019053494,9.088990237143863,-0.7463862939678017
0.2,39.35113789485331,9.175882726384717,-0.7463862939677868
0.3,39.02053587835329,9.260562174241924,-0.7463862939678357
0.4,38.686248203571736,9.342916311661163,-0.7463862939678665
0.5,38.348600186905074,9.42283626569456,-0.7463862939678132
0.6,38.00791932108733,9.500216918364458,-0.7463862939676139
0.7,37.66453436964797,9.574957250250545,-0.7463862939675485
0.8,37.31877446638516,9.646960666930715,-0.7463862939678129
0.9,36.970968225396916,9.71613530607134,-0.7463862939680498
1.0,36.62144286774125,9.78239432301886,-0.7463862939676491
1.1,36.27052337046178,9.845656153032111,-0.7463862939676016
1.2,35.9185316371872,9.905844750286574,-0.7463862939679266
1.3,35.56578569957058,9.96288980062364,-0.7463862939678056
1.4,35.212598955901754,10.016726906810108,-0.7463862939677232
1.5,34.85927944439171,10.06729774715001,-0.7463862939678504
1.6,34.506129153036504,10.114550206358944,-0.7463862939677235
1.7,34.15344338063999,10.158438476616176,-0.746386293968053
1.8,33.80151013971414,10.198923131170318,-0.7463862939677848
1.9,33.45060960255782,10.235971169327133,-0.7463862939676409
2.0,33.10101360493847,10.269556032844005,-0.7463862939684355
2.1,32.752985194780116,10.299657595625522,-0.7463862939675499
2.2,32.40677822974199,10.326262125509073,-0.7463862939678305
2.3,32.0626370322597,10.349362221373381,-0.7463862939686193
2.4,31.72079608966381,10.368956725004924,-0.7463862939670598
2.5,31.38147980615167,10.385050608396055,-0.7463862939684887
2.6,31.044902306677987,10.397654841556214,-0.7463862939683226
2.7,30.711267285024842,10.406786236742049,-0.7463862939665824
2.8,30.380767901525815,10.412467274727861,-0.7463862939694892
2.9,30.053586724689264,10.41472591595839,-0.7463862939679238
3.0,29.72989571558699,10.413595391106268,-0.7463862939667881
3.1,29.409856253704007,10.409113981934626,-0.746386293970112
3.2,29.093619199797736,10.401324789871543,-0.746386293967011
3.3,28.781324997437387,10.390275489325818,-0.7463862939683044
3.4,28.473103804504017,10.376018079359424,-0.746386293969212
3.5,28.169075657817007,10.358608623246056,-0.7463862939658166
3.6,27.86935066666045,10.338106982902211,-0.7463862939705564
3.7,27.574029226774787,10.314576555082784,-0.7463862939678545
3.8,27.283202264892616,10.288083996523778,-0.7463862939670924
3.9,26.996951496531164,10.258698956178504,-0.7463862939704792
4.0,26.715349702971228,10.226493805814327,-0.7463862939655266
4.1,26.438461028723914,10.191543368032821,-0.7463862939709947
4.2,26.16634128008467,10.153924657397372,-0.746386293967816
4.3,25.89903824788701,10.113716614085913,-0.7463862939675981
4.4,25.636592026906996,10.070999852324567,-0.7463862939700086
4.5,25.379035345726187,10.025856411158353,-0.746386293965042
4.6,25.12639390500078,9.978369509401151,-0.7463862939723321
4.7,24.878686704629757,9.928623317392322,-0.7463862939654813
4.8,24.635926391767743,9.876702723383602,-0.7463862939718784
4.9,24.398119583628507,9.82269312466869,-0.746386293967235
5.0,24.165267211487574,9.766680212765374,-0.7463862939701448
5.1,23.937364840660546,9.708749780939595,-0.7463862939679836
5.2,23.71440300065072,9.64898753230503,-0.7463862939687034
5.3,23.496367499140096,9.587478904227094,-0.7463862939682853
5.4,23.283239734915863,9.524308899269593,-0.746386293968318
5.5,23.074997000379796,9.45956192834495,-0.746386293968223
5.6,22.87161277655551,9.393321663118321,-0.7463862939695614
5.7,22.67305701824851,9.325670899657037,-0.7463862939678445
5.8,22.479296432687015,9.256691430103611,-0.7463862939729978
5.9,22.290294740596988,9.186463928505155,-0.7463862939653968
6.0,22.106012943256438,9.115067838689587,-0.7463862939764538
6.1,21.926409551288163,9.042581283790195,-0.7463862939623324
6.2,21.75144084438575,8.969080968349584,-0.7463862939743187
6.3,21.58106106814672,8.894642108914837,-0.7463862939645571
6.4,21.415222676128426,8.819338354002848,-0.7463862939692705
6.5,21.25387651210455,8.743241727863007,-0.7463862939690141
6.6,21.096972016875718,8.666422572579904,-0.7463862939675261
6.7,20.944457407302963,8.588949501337199,-0.7463862939715225
6.8,20.796279846870025,8.510889360024487,-0.7463862939659421
6.9,20.65238561756792,8.432307191741154,-0.7463862939715085
7.0,20.51272026112409,8.353266213131434,-0.7463862939657354
7.1,20.37722873821381,8.27382779145913,-0.7463862939702398
7.2,20.245855548722243,8.19405143189015,-0.7463862939665202
