max_age,init_white,time,black,white,temperature,luminosity,albedo
25,0.2,1000,0,892,3.938305823738004,1.374999999999992,0.7468888888888888
25,0.8,1000,0,864,6.257530665303529,1.374999999999992,0.7359999999999994
40,0.2,1000,0,892,4.115419342968409,1.374999999999992,0.7468888888888887
40,0.8,1000,0,882,5.666960988711024,1.374999999999992,0.7429999999999997
